name,date,type
"1984",2018-05-27,"DRAMA"
"39 STEPS, THE ",2018-05-28,"COMEDY"
"A MIDSUMMER NIGHT’S DREAM - IN NEW ORLEANS",2018-05-29,"DRAMA"
"ANNIE JR",2018-05-30,"MUSICAL"
"AS IS",2018-05-31,"DRAMA"
"AS YOU LIKE IT ",2018-06-01,"DRAMA"
"AUDIENCE, THE",2018-06-02,"DRAMA"
"BAKKHAI",2018-06-03,"DRAMA"
"BARBARIANS",2018-06-04,"DRAMA"
"BEAUTIFUL - THE CAROLE KING MUSICAL ",2018-06-05,"MUSICAL"
"BEAUX' STRATAGEM, THE",2018-06-06,"COMEDY"
"BEND IT LIKE BECKHAM THE MUSICAL",2018-06-07,"MUSICAL"
"BILLY ELLIOT - THE MUSICAL",2018-06-08,"MUSICAL"
"BOOK OF MORMON , THE",2018-06-09,"MUSICAL"
"BRAINSTORM",2018-06-10,"DRAMA"
"BREAKFAST AT TIFFANY'S",2018-06-11,"DRAMA"
"CARETAKER, THE",2018-06-12,"DRAMA"
"CATS",2018-06-13,"MUSICAL"
"CHARLIE AND THE CHOCOLATE FACTORY - THE MUSICAL",2018-06-14,"MUSICAL"
"COMEDY OF ERRORS",2018-06-15,"COMEDY"
"COMMITMENTS, THE",2018-06-16,"MUSICAL"
"CONSENSUAL",2018-06-17,"DRAMA"
"CONSTELLATIONS",2018-06-18,"DRAMA"
"CREDITORS",2018-06-19,"DRAMA"
"CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME, THE",2018-06-20,"DRAMA"
"CYMBELINE",2018-06-21,"DRAMA"
"DAWN FRENCH: 30 MILLION MINUTES ",2018-06-22,"COMEDY"
"DEAR LUPIN",2018-06-23,"COMEDY"
"DEATH OF A SALESMAN",2018-06-24,"DRAMA"
"DR SEUSS'S THE LORAX",2018-06-25,"DRAMA"
"ELEPHANT MAN, THE",2018-06-26,"DRAMA"
"ELF THE MUSICAL",2018-06-27,"MUSICAL"
"ENTERTAINER, THE",2018-06-28,"DRAMA"
"EVENING AT THE TALK HOUSE",2018-06-29,"DRAMA"
"EVERYMAN",2018-06-30,"DRAMA"
"FARINELLI AND THE KING",2018-07-01,"DRAMA"
"FATHER, THE",2018-07-02,"DRAMA"
"FUTURE CONDITIONAL ",2018-07-03,"DRAMA"
"GREEN DAY'S AMERICAN IDIOT",2018-07-04,"MUSICAL"
"GROUNDHOG DAY",2018-07-05,"MUSICAL"
"GUYS AND DOLLS",2018-07-06,"MUSICAL"
"GYPSY",2018-07-07,"MUSICAL"
"HAIRY APE, THE",2018-07-08,"DRAMA"
"HAMLET",2018-07-09,"DRAMA"
"HARLEQUINADE / ALL ON HER OWN (Double Bill)",2018-07-10,"COMEDY"
"HARRY POTTER AND THE CURSED CHILD",2018-07-11,"DRAMA"
"HAY FEVER",2018-07-12,"COMEDY"
"HERE WE GO",2018-07-13,"DRAMA"
"HERESY OF LOVE, THE",2018-07-14,"DRAMA"
"HETTY FEATHER",2018-07-15,"DRAMA"
"HIGH SOCIETY",2018-07-16,"MUSICAL"
"HUSBANDS AND SONS",2018-07-17,"DRAMA"
"I WANT MY HAT BACK",2018-07-18,"DRAMA"
"IMPORTANCE OF BEING EARNEST, THE",2018-07-19,"COMEDY"
"JANE EYRE",2018-07-20,"DRAMA"
"JERSEY BOYS ",2018-07-21,"MUSICAL"
"KINKY BOOTS ",2018-07-22,"MUSICAL"
"LA MUSICA",2018-07-23,"DRAMA"
"LES LIAISONS DANGEREUSES",2018-07-24,"DRAMA"
"LES MISERABLES",2018-07-25,"MUSICAL"
"LET IT BE",2018-07-26,"MUSICAL"
"LIGHTS! CAMERA! IMPROVISE!",2018-07-27,"COMEDY"
"LION KING, THE ",2018-07-28,"MUSICAL"
"LORD OF THE DANCE  - DANGEROUS GAMES",2018-07-29,"MUSICAL"
"LORD OF THE FLIES, THE",2018-07-30,"DRAMA"
"MA RAINEY'S BLACK BOTTOM",2018-07-31,"DRAMA"
"MACBETH",2018-08-01,"DRAMA"
"MACBETH (in Cantonese)",2018-08-02,"DRAMA"
"MAMMA MIA!",2018-08-03,"MUSICAL"
"MASTER BUILDER, THE",2018-08-04,"DRAMA"
"MATILDA THE MUSICAL",2018-08-05,"MUSICAL"
"MEASURE FOR MEASURE",2018-08-06,"DRAMA"
"MEDEA",2018-08-06,"DRAMA"
"MEMPHIS THE MUSICAL",2018-08-07,"MUSICAL"
"MENTALISTS, THE",2018-08-08,"COMEDY"
"MERCHANT OF VENICE, THE",2018-08-09,"DRAMA"
"MISS SAIGON",2018-08-10,"MUSICAL"
"MOTHERF**KER WITH THE HAT, THE",2018-08-11,"DRAMA"
"MOTOWN THE MUSICAL",2018-08-12,"MUSICAL"
"MOUSETRAP, THE ",2018-08-13,"DRAMA"
"MUCH ADO ABOUT NOTHING",2018-08-14,"COMEDY"
"MY CHILDREN! MY AFRICA! ",2018-08-15,"DRAMA"
"NELL GWYNN",2018-08-16,"DRAMA"
"NUMBER, A",2018-08-17,"DRAMA"
"OMEROS",2018-08-18,"DRAMA"
"ORESTEIA",2018-08-19,"DRAMA"
"OUR COUNTRY'S GOOD",2018-08-20,"DRAMA"
"PAINKILLER, THE",2018-08-21,"COMEDY"
"PEOPLE, PLACES AND THINGS",2018-08-22,"DRAMA"
"PERICLES",2018-08-23,"DRAMA"
"PHANTOM OF THE OPERA, THE",2018-08-24,"MUSICAL"
"PHOTOGRAPH 51",2018-08-25,"DRAMA"
"PLAY THAT GOES WRONG, THE",2018-08-26,"COMEDY"
"POMONA",2018-08-27,"DRAMA"
"RED LION, THE",2018-08-28,"DRAMA"
"RICHARD II",2018-08-29,"DRAMA"
"RICHARD III (in Mandarin)",2018-08-30,"DRAMA"
"ROMEO AND JULIET",2018-08-31,"DRAMA"
"SEVEN BRIDES FOR SEVEN BROTHERS",2018-09-01,"MUSICAL"
"SINATRA AT THE LONDON PALLADIUM",2018-09-02,"MUSICAL"
"SONG FROM FAR AWAY",2018-09-03,"DRAMA"
"SPLENDOUR",2018-09-04,"DRAMA"
"STOMP",2018-09-05,"MUSICAL"
"SUNNY AFTERNOON",2018-09-06,"MUSICAL"
"TEDDY FERRARA",2018-09-07,"DRAMA"
"TEMPEST, THE",2018-09-08,"DRAMA"
"TEMPLE ",2018-09-09,"DRAMA"
"THE ODYSSEY: MISSING PRESUMED DEAD",2018-09-10,"DRAMA"
"THOMAS TALLIS",2018-09-11,"DRAMA"
"THREE DAYS IN THE COUNTRY",2018-09-12,"DRAMA"
"THREE LITTLE PIGS, THE ",2018-09-13,"MUSICAL"
"THRILLER  LIVE",2018-09-14,"MUSICAL"
"TO KILL A MOCKINGBIRD",2018-09-14,"DRAMA"
"TRIAL, THE",2018-09-15,"DRAMA"
